Age,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Male,Loyal Customer,Business Travel,satisfied
39,3,2102,4,4,5,4,3,4,4,4,4,4,4,4,4,4,0,0,1,1,1,1
68,1,1085,3,4,2,3,4,2,4,4,3,5,4,3,5,4,37,25,1,1,0,0
23,1,825,4,4,4,3,4,4,4,3,2,5,4,4,4,4,257,246,1,0,1,0
56,3,1738,4,4,4,4,2,5,5,5,5,5,5,3,5,3,0,0,1,1,1,1
7,1,347,4,3,4,4,4,4,3,4,1,5,3,2,3,4,0,0,1,1,0,1
38,2,627,4,5,1,1,4,3,4,4,1,5,3,1,2,4,20,27,1,1,1,0
19,1,1532,3,5,3,4,4,3,4,4,3,5,3,4,4,4,0,0,0,1,0,0
30,1,725,1,4,1,4,3,1,3,3,3,5,2,2,2,3,25,0,1,1,0,0
65,3,2248,1,4,1,2,5,5,4,3,3,1,3,3,3,5,19,7,1,1,0,0
47,1,967,1,1,1,4,3,1,3,3,2,4,3,1,4,3,0,1,0,0,1,0
27,2,852,2,5,5,5,2,2,2,2,2,1,4,3,3,2,61,58,0,1,1,0
50,1,997,5,5,5,3,3,4,4,4,4,5,1,3,4,5,64,57,0,1,0,1
15,1,383,3,4,2,2,4,2,4,4,4,2,4,3,4,4,2,0,1,1,0,0
69,3,588,3,5,3,2,5,4,4,5,5,3,4,4,5,5,16,14,1,1,0,0
33,1,783,2,5,5,5,2,2,2,2,1,1,4,1,4,2,5,0,0,1,1,0
24,1,873,2,4,2,1,4,2,4,4,2,3,4,4,5,4,92,107,1,1,0,0
59,3,2139,3,5,4,5,4,2,3,3,3,3,3,2,3,3,0,0,0,1,1,0
29,1,526,2,1,4,2,3,4,4,3,3,3,2,1,1,3,19,29,1,1,0,0
64,3,3308,4,4,4,4,4,4,5,4,4,4,4,4,4,5,0,0,1,1,1,1
59,2,557,2,2,2,4,3,3,3,2,2,2,2,2,2,3,0,9,0,1,0,0
13,1,622,1,1,1,3,3,1,3,3,4,1,3,4,4,3,11,2,0,0,1,0
52,3,3974,1,1,1,1,5,4,5,5,5,4,5,4,5,3,34,27,1,1,1,1
66,3,862,2,5,5,5,1,4,3,2,2,2,2,4,2,3,0,1,0,1,1,0
50,3,2574,2,2,1,2,4,4,5,3,3,4,3,3,3,4,83,80,0,1,1,1
23,1,417,1,5,4,5,2,4,2,2,4,5,5,5,1,2,12,14,0,1,0,0
42,1,631,3,3,2,2,3,2,3,3,4,3,2,4,3,3,26,26,1,1,0,0
52,3,3512,2,2,2,2,3,5,5,4,4,5,4,4,4,4,0,0,1,1,1,1
53,3,3823,1,1,2,1,2,5,4,4,4,5,4,3,4,5,5,2,0,1,1,1
35,3,895,5,5,5,5,4,3,5,5,5,5,5,4,5,3,9,15,0,1,1,1
9,2,954,2,4,2,2,5,2,5,5,4,4,4,5,5,5,2,5,0,1,0,0
39,3,3089,2,2,2,2,4,5,5,4,4,4,4,4,4,5,0,0,1,1,1,1
26,1,1598,2,2,2,2,3,2,3,3,5,1,4,2,4,3,1,0,0,0,1,0
39,3,3131,4,4,4,4,2,2,3,4,4,4,4,1,4,1,0,13,0,1,1,1
59,3,2736,2,2,2,2,2,5,4,4,4,4,4,5,4,4,0,0,0,1,1,1
22,3,240,5,0,5,4,1,5,1,1,5,3,5,4,5,1,0,0,0,0,1,1
53,1,453,1,4,1,5,2,1,2,2,5,4,4,3,4,2,26,9,1,1,0,0
21,1,818,3,2,2,1,1,3,1,1,4,5,3,4,5,1,0,0,1,0,1,0
60,3,3573,3,3,3,3,4,4,3,3,3,3,3,4,3,3,0,0,0,1,1,0
35,1,530,2,1,2,1,2,2,2,2,4,1,3,4,3,2,0,10,1,1,1,0
42,1,1846,2,4,1,3,2,1,2,2,1,1,3,1,3,2,0,0,1,1,0,0
44,3,1171,2,2,2,3,1,2,4,1,1,5,4,1,4,1,114,115,1,0,1,0
39,3,2454,2,2,2,2,2,5,5,4,4,4,4,4,4,3,21,15,0,1,1,1
57,1,304,1,3,3,3,1,1,1,1,3,2,2,1,2,1,23,38,1,1,1,0
21,1,2777,5,5,5,4,2,5,2,2,5,1,5,1,1,2,0,0,0,0,1,1
65,1,692,3,5,3,5,3,4,5,4,4,3,4,4,4,4,0,0,0,1,0,0
43,3,425,2,4,4,4,1,4,4,2,2,2,2,1,2,4,0,0,1,1,1,0
35,3,1013,2,2,2,4,4,2,4,4,5,4,4,5,4,4,0,0,0,0,1,0
26,3,493,2,4,2,1,5,2,5,5,3,2,4,4,5,5,0,0,0,1,0,0
23,1,338,1,0,1,2,3,1,3,3,3,4,5,4,5,3,0,0,0,0,1,0
19,1,2454,1,3,1,2,1,3,3,2,5,3,3,3,4,3,0,10,0,1,0,0
28,1,1199,4,3,3,3,5,3,5,5,1,1,2,2,2,5,20,18,0,0,1,1
56,2,584,4,4,4,2,2,4,4,1,1,4,1,3,1,3,0,0,0,1,0,0
27,1,601,3,3,3,3,5,3,5,5,3,1,4,2,4,5,0,0,0,0,1,0
41,1,129,4,4,5,5,4,4,4,4,4,5,3,5,1,4,0,5,0,1,1,1
39,3,280,4,4,4,4,2,5,4,4,4,4,4,3,4,4,87,90,1,1,1,1
56,1,378,3,4,3,4,1,3,1,1,3,3,4,3,4,1,34,33,1,1,0,0
56,3,584,3,1,4,1,4,4,3,3,3,3,3,2,3,4,11,0,0,1,1,0
32,1,1481,3,4,2,1,3,2,3,3,4,4,1,1,5,3,0,0,1,1,0,0
62,3,447,2,2,2,5,4,2,4,4,4,4,4,4,4,4,0,0,0,0,1,0
8,1,334,1,4,1,3,5,1,5,5,4,2,3,1,3,5,69,49,1,1,0,0
25,3,687,1,2,2,2,1,1,1,1,2,3,3,2,3,1,25,20,1,1,1,0
64,1,683,2,1,1,1,2,2,2,2,1,3,3,4,3,2,0,0,1,1,1,0
36,3,689,3,4,3,3,5,4,5,2,2,3,2,5,2,4,0,0,1,1,0,0
66,1,594,3,1,5,5,4,3,3,3,3,3,3,3,3,1,61,50,0,1,1,0
48,1,337,4,3,4,4,2,4,3,2,2,4,2,4,2,3,3,0,0,1,0,1
51,1,109,1,1,0,3,3,3,3,3,3,0,3,2,3,1,0,0,0,1,0,0
59,3,599,3,3,3,3,5,4,4,4,4,4,4,5,4,5,105,115,0,1,1,1
42,3,2311,1,1,1,1,2,4,4,5,5,5,5,3,5,4,0,0,1,1,1,1
39,3,2633,3,3,3,3,1,1,5,5,5,5,5,4,5,1,71,75,1,1,1,1
34,1,1096,3,2,3,3,2,3,4,2,4,2,4,3,4,2,114,88,1,1,0,0
25,3,239,2,5,3,2,5,3,5,5,3,2,5,4,5,5,0,0,0,0,1,0
42,1,356,1,4,5,5,3,5,4,1,1,5,1,4,1,4,0,3,0,1,0,0
50,1,761,1,1,1,4,5,3,3,4,4,1,4,1,4,2,0,0,0,1,0,0
51,1,488,2,1,1,1,2,2,2,2,2,1,3,1,2,2,67,77,1,1,1,0
31,1,667,2,4,2,4,2,2,2,2,5,4,5,4,5,2,0,0,1,1,0,0
41,3,1788,3,3,5,3,2,5,5,5,5,5,5,5,5,4,0,0,0,1,1,1
28,3,1028,3,3,4,3,5,5,5,5,4,2,1,4,5,5,0,0,1,1,1,1
46,1,283,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,10,1,1,1,0
60,1,950,2,3,2,3,3,2,3,4,4,2,2,4,4,2,29,0,0,1,0,0
43,3,3267,3,3,4,3,2,3,5,5,5,5,5,5,5,3,0,2,1,1,1,1
20,1,501,4,4,4,3,5,4,5,5,3,4,4,4,5,5,0,0,0,1,0,1
39,3,3554,1,3,2,3,3,4,3,1,1,1,1,4,1,1,0,7,0,1,1,0
14,1,581,1,4,1,4,1,1,1,1,5,5,4,5,5,1,0,20,0,1,0,0
45,3,2402,1,1,1,1,4,4,4,4,4,4,4,3,4,4,0,0,1,1,1,1
39,1,158,3,4,3,3,1,3,1,1,3,4,4,5,5,1,4,3,1,1,0,0
39,1,216,1,5,1,5,4,1,4,4,3,2,5,5,4,4,0,0,1,1,0,0
24,1,404,0,1,0,3,5,0,5,5,1,1,4,4,3,5,11,1,1,1,0,1
37,3,528,5,4,5,5,2,4,4,4,4,4,4,4,4,4,0,0,0,1,1,1
40,1,255,4,3,4,4,3,4,1,3,3,3,4,3,4,3,0,5,0,1,0,1
29,3,3217,3,3,3,3,3,4,3,3,4,5,3,1,4,3,11,2,0,1,1,0
17,1,491,1,4,1,4,1,1,1,1,4,4,3,4,3,1,0,1,1,0,1,0
39,1,628,2,4,2,3,1,2,3,1,3,5,3,2,4,1,33,26,1,0,1,0
16,1,329,4,2,4,3,5,4,5,5,2,4,3,2,4,5,0,0,1,1,0,0
52,2,1250,4,5,3,1,2,5,5,2,2,3,2,5,2,5,22,34,0,1,0,0
58,3,409,2,2,2,2,2,5,4,4,4,4,4,5,4,3,11,25,1,1,1,1
39,3,529,3,1,1,1,2,3,3,3,3,3,3,2,3,2,0,0,0,1,1,0
59,3,2726,1,1,1,1,4,5,5,3,3,3,3,5,3,4,0,4,1,1,1,1
51,1,1310,1,4,1,2,4,3,5,1,1,1,1,5,1,5,0,0,0,1,0,0
57,3,3136,5,5,4,5,3,5,5,3,3,4,3,4,3,3,3,2,1,1,1,1
39,3,134,1,1,1,2,4,1,4,4,5,4,5,5,4,4,0,0,1,0,1,0
43,3,2565,2,3,3,3,1,2,2,2,2,4,3,2,3,2,2,16,0,1,1,0
35,1,562,1,1,1,4,2,1,3,2,3,5,3,2,4,2,0,0,0,1,0,0
41,3,1205,3,4,4,4,2,4,4,3,3,4,3,1,3,3,0,0,1,1,1,0
27,3,301,5,5,3,5,4,4,4,4,3,4,5,5,5,4,22,24,1,1,1,1
54,1,985,3,5,2,4,4,4,4,4,4,2,4,5,4,4,0,0,0,1,0,0
54,2,834,4,3,3,3,5,3,3,4,4,4,4,3,4,5,0,0,0,1,1,1
53,1,1075,4,5,5,5,3,4,3,3,3,2,2,3,5,3,14,0,1,1,1,1
35,1,328,4,5,5,1,2,5,2,2,1,4,4,2,3,2,2,0,1,0,1,0
60,1,438,3,4,3,3,5,4,4,4,4,3,4,3,4,5,1,0,0,1,0,0
20,1,886,2,2,2,4,4,2,4,4,4,2,4,4,4,4,5,14,0,0,1,0
47,1,413,4,5,3,5,3,4,4,2,2,3,1,4,2,5,9,0,0,1,0,1
35,2,139,3,4,3,5,1,3,1,1,4,4,4,4,5,1,53,62,1,1,0,0
17,1,581,1,2,1,3,1,1,1,1,1,3,3,4,4,1,0,12,0,0,1,0
70,1,849,3,1,3,2,5,3,4,5,3,1,3,4,2,5,0,0,1,1,0,0
58,2,119,2,4,4,4,4,3,3,2,2,2,2,2,2,3,30,51,0,1,1,0
59,3,281,2,2,2,2,3,5,4,5,5,5,5,5,5,5,77,75,0,1,1,1
51,2,1276,4,5,3,1,5,3,5,5,5,3,4,5,4,5,0,0,1,1,0,1
37,1,631,4,0,4,1,2,4,2,2,5,2,2,2,4,2,0,0,1,0,1,0
44,3,1520,2,2,2,2,3,2,3,5,5,5,5,1,5,4,102,116,0,1,1,1
34,3,308,4,4,4,4,5,4,4,5,5,5,5,3,5,3,0,0,1,1,1,1
35,2,689,2,4,1,5,3,1,3,3,3,3,5,1,5,3,7,15,0,1,0,0
68,1,448,3,4,2,2,5,4,4,4,4,2,5,3,4,4,43,40,0,1,0,0
43,3,3683,3,3,3,3,5,5,5,5,4,5,4,5,5,5,202,207,0,1,1,1
27,1,264,5,4,5,5,1,5,1,1,5,2,3,5,3,1,0,0,1,1,0,1
26,2,331,3,4,3,1,5,3,5,5,4,4,5,3,2,5,3,0,1,1,0,0
23,1,1431,2,2,2,3,1,2,1,1,5,5,5,3,5,1,0,0,0,0,1,0
29,3,3677,2,2,2,2,4,4,4,4,4,2,2,3,5,4,2,0,1,1,1,1
56,1,403,3,5,3,5,4,3,4,4,5,2,5,3,5,4,30,36,1,1,0,0
46,3,258,1,1,1,1,4,4,4,4,4,4,4,5,4,4,0,0,0,1,1,1
59,1,794,5,3,3,3,5,5,4,5,5,5,5,4,5,3,14,8,0,1,1,1
13,1,1121,4,5,4,1,1,4,1,1,4,4,5,5,4,1,10,0,1,1,0,0
32,3,761,1,1,1,1,5,5,5,5,3,5,1,4,5,5,0,0,1,1,1,1
27,3,89,2,2,2,4,1,2,1,1,5,3,5,3,5,1,0,0,1,0,1,0
56,3,1007,4,4,4,4,3,5,5,4,4,4,4,4,4,4,0,0,0,1,1,1
26,3,2296,1,1,1,1,4,3,3,3,3,4,4,3,3,3,117,147,0,1,1,1
50,1,838,2,4,2,3,5,5,4,3,3,2,3,5,3,3,0,0,0,1,0,0
60,1,239,4,5,4,2,1,4,1,1,4,1,1,2,2,1,0,0,1,1,0,0
31,3,3114,2,2,2,2,5,5,5,5,3,4,1,5,5,5,14,4,0,1,1,1
53,3,419,1,1,1,1,2,4,5,4,4,4,4,4,4,4,0,0,1,1,1,1
42,1,343,1,5,2,5,5,2,5,5,4,3,4,5,5,5,13,12,1,1,0,0
60,3,2014,2,2,2,2,2,4,5,4,4,4,4,4,4,3,0,0,0,1,1,1
50,1,1028,4,3,3,3,1,3,1,1,2,4,3,4,2,1,5,12,0,0,1,0
52,3,1084,5,5,5,5,5,4,4,2,2,2,2,3,2,5,0,0,1,1,1,1
37,3,361,1,1,1,5,4,1,1,4,5,4,5,4,5,4,0,0,1,0,1,0
51,3,2565,1,1,1,1,3,3,3,3,5,3,5,3,4,3,61,67,0,1,1,1
62,3,1482,3,4,4,4,4,3,3,3,3,3,3,1,3,4,2,0,1,1,1,0
42,1,287,3,5,3,3,3,3,3,3,2,2,4,2,1,3,0,0,1,1,0,0
49,1,224,5,4,4,4,5,5,4,5,5,5,5,2,5,1,0,0,0,1,1,1
50,3,2563,5,5,5,5,2,4,5,5,5,5,5,4,5,5,0,0,1,1,1,1
47,2,463,4,2,2,2,1,1,5,4,4,4,4,2,4,2,0,0,0,1,1,1
56,3,2221,3,3,3,3,3,5,4,4,4,4,4,5,4,4,0,7,0,1,1,1
58,3,930,1,1,1,1,3,5,5,4,4,5,4,5,4,5,0,0,0,1,1,1
52,3,2382,3,3,3,3,3,4,5,5,5,5,5,4,5,5,35,38,0,1,1,1
56,3,3532,1,1,2,1,4,5,4,2,2,2,2,5,2,4,0,0,0,1,1,1
42,3,854,2,3,3,4,2,2,2,2,3,2,3,4,3,2,0,0,0,0,1,0
38,3,3383,1,5,5,5,1,3,4,1,1,1,1,3,1,1,18,2,1,1,1,0
24,1,737,1,1,1,1,1,1,1,1,2,5,3,4,3,1,73,49,1,1,1,0
50,3,1911,3,3,3,3,4,3,4,4,4,4,4,5,4,3,0,0,0,1,1,1
58,3,231,2,2,2,2,5,4,3,4,4,4,4,3,4,2,0,0,1,1,1,1
18,1,272,2,2,3,4,3,3,3,3,4,1,3,1,4,3,0,3,1,0,1,0
56,1,106,4,3,4,2,5,4,5,5,5,1,4,4,2,5,0,0,0,0,1,0
29,3,2493,5,2,5,5,5,5,5,5,2,5,2,5,4,5,0,0,1,1,1,1
43,1,1072,3,5,3,3,4,5,5,3,3,3,3,3,3,3,63,64,0,1,0,0
35,1,1590,3,3,3,2,4,3,4,4,3,2,1,3,2,4,0,10,0,0,1,0
41,3,404,2,2,2,2,2,5,4,5,5,5,5,4,5,3,1,0,0,1,1,1
33,1,1061,2,5,2,3,2,2,2,2,4,4,5,4,4,2,7,0,0,1,0,0
21,1,369,3,1,3,3,4,3,4,4,2,5,3,1,2,4,48,45,0,1,0,0
46,3,1744,1,1,1,1,3,4,5,5,5,5,5,4,5,3,3,0,1,1,1,1
56,3,3466,1,1,1,1,1,1,3,3,3,4,3,5,3,3,0,5,0,1,1,1
38,1,693,3,4,3,4,5,3,5,5,5,5,4,5,5,5,0,0,1,1,0,0
61,3,2077,1,5,5,5,2,4,3,1,1,1,1,3,1,1,0,0,1,1,1,0
34,2,303,4,5,4,2,3,4,3,3,5,5,5,3,5,3,49,50,0,1,0,0
59,1,2139,4,3,4,2,2,1,3,2,2,4,2,4,2,1,5,0,0,1,0,0
41,1,590,3,3,4,4,4,4,5,4,1,4,4,1,2,4,1,13,1,1,0,0
34,3,834,1,1,1,1,4,4,5,5,5,5,5,5,5,3,15,0,0,1,1,1
27,3,544,4,4,4,5,2,4,2,2,4,5,5,5,5,2,0,0,1,0,1,1
58,1,1190,3,5,3,2,3,4,4,1,1,3,1,5,1,5,0,0,0,1,0,0
31,1,1066,3,5,3,1,5,3,5,5,5,2,5,3,4,5,33,54,1,1,0,0
20,2,116,3,4,0,2,5,0,5,5,5,3,4,5,5,5,0,0,1,1,0,0
55,1,936,2,1,1,1,2,4,4,2,2,2,2,3,2,2,0,0,0,1,1,0
43,3,3635,2,2,2,2,3,5,5,4,4,4,4,5,4,5,0,0,0,1,1,1
26,3,594,2,2,2,1,4,2,3,4,5,5,4,5,5,4,0,0,1,0,1,0
36,1,370,4,3,5,5,4,4,4,4,3,3,3,3,3,4,8,6,0,1,1,1
42,3,414,5,5,1,5,5,5,4,4,4,4,4,5,4,4,11,0,0,1,1,1
26,1,834,2,3,3,3,2,3,2,2,1,4,4,2,3,2,7,0,0,0,1,0
59,3,2202,2,2,2,2,4,4,5,5,5,5,5,3,5,5,10,11,0,1,1,1
38,1,473,1,4,4,4,1,1,1,1,1,2,3,3,4,1,0,5,0,1,1,0
31,2,236,2,5,2,2,1,2,1,1,4,5,5,3,5,1,0,0,0,1,0,0
19,1,1009,2,1,1,3,3,1,3,3,2,1,4,3,4,3,0,0,0,0,1,0
35,1,2475,4,5,5,5,4,4,4,1,1,5,2,4,5,4,0,4,1,1,1,1
40,3,323,4,4,4,5,4,3,3,1,1,4,4,3,4,3,106,143,0,0,1,1
24,3,2381,4,2,4,4,5,5,5,5,3,5,5,4,4,5,31,11,0,1,1,1
52,3,3558,2,2,2,2,3,5,4,5,5,5,3,1,5,1,0,0,0,1,1,1
50,2,421,4,1,1,1,5,4,3,4,4,4,4,3,4,2,0,0,0,1,1,1
23,1,240,5,0,5,2,1,5,1,1,2,3,5,2,1,1,2,27,0,0,1,1
14,3,2051,1,1,1,1,2,2,2,2,4,3,5,4,5,2,5,0,1,1,1,1
21,1,216,2,0,0,2,2,0,2,2,5,5,4,4,5,2,0,0,0,1,0,0
26,1,228,1,4,1,3,4,1,4,4,4,3,3,2,4,4,0,0,0,0,1,0
54,1,1075,5,5,5,1,5,4,4,3,3,5,3,3,3,5,2,0,0,1,0,1
37,3,2249,5,5,5,5,4,4,5,4,4,4,4,4,4,5,0,0,1,1,1,1
38,3,2640,5,5,3,5,1,5,4,5,5,5,5,1,5,5,5,0,1,1,1,1
24,2,845,2,4,2,4,4,2,4,4,4,2,5,5,5,4,28,31,1,1,0,0
35,1,1050,2,3,3,3,2,2,2,2,1,3,4,4,4,2,0,11,1,1,1,0
28,1,192,2,5,2,4,5,2,3,5,3,3,4,3,5,5,0,0,0,1,0,0
51,3,2425,1,1,1,1,2,5,4,5,5,5,5,5,5,4,0,0,0,1,1,1
42,1,139,1,0,1,1,5,4,5,3,3,1,3,4,3,4,3,0,0,1,0,0
39,1,260,2,3,2,4,5,2,5,5,4,1,4,3,3,5,0,0,1,1,0,0
38,3,1346,3,3,3,1,2,3,2,2,3,2,5,4,4,2,0,19,1,0,1,0
42,3,130,1,3,3,3,2,3,4,2,2,1,1,3,2,3,5,12,1,1,1,0
43,1,731,3,3,3,3,3,3,3,3,2,1,3,2,4,3,0,0,1,1,1,0
52,1,858,4,4,4,4,5,4,5,5,1,2,2,4,4,5,0,0,1,1,1,1
50,1,345,3,4,3,3,5,3,3,4,4,3,4,3,4,3,0,0,0,1,0,0
43,1,2603,3,2,3,3,2,3,2,2,2,4,4,2,4,2,11,0,1,1,0,0
9,2,1162,2,1,2,4,3,2,3,3,2,5,2,1,3,3,60,44,1,1,0,0
24,3,2118,2,2,2,2,2,2,2,2,3,2,3,3,4,2,123,121,0,1,1,0
58,1,308,2,4,2,3,4,4,5,5,5,2,5,5,5,5,5,9,0,1,0,0
52,3,381,4,4,4,4,4,2,1,3,3,3,3,1,3,5,0,0,1,1,1,1
29,1,2133,2,2,1,3,1,4,4,2,2,4,3,4,1,4,365,383,0,1,0,0
58,3,429,2,2,2,1,5,2,5,5,5,5,4,3,5,5,0,0,1,0,1,0
23,1,255,2,2,2,4,4,2,4,4,1,5,3,4,4,4,26,17,1,0,1,0
55,3,1126,5,5,5,4,1,5,1,1,5,3,4,5,5,1,0,0,1,0,1,1
11,1,173,1,5,0,4,2,0,2,2,2,2,1,5,5,2,15,24,1,1,0,0
53,3,3357,2,2,2,2,5,3,3,2,2,2,2,3,2,1,0,0,1,1,1,0
21,1,666,1,4,1,4,1,2,3,3,2,5,4,3,5,3,133,119,1,1,0,0
24,3,304,4,2,4,3,3,4,3,3,2,2,4,4,4,3,4,2,0,0,1,0
60,1,2176,2,3,2,4,1,2,1,1,1,4,3,4,3,1,58,33,1,1,0,0
55,3,712,4,4,4,4,4,4,4,5,5,5,5,3,5,4,0,0,1,1,1,1
9,1,1400,3,3,3,3,2,3,2,2,4,2,3,2,4,2,0,4,1,0,1,0
40,1,156,1,4,4,4,1,1,1,1,2,4,3,3,2,1,95,89,0,1,1,0
28,2,488,4,5,5,5,4,4,4,4,2,4,5,5,1,4,49,40,0,1,1,1
39,3,3563,1,4,4,4,4,4,4,1,1,1,1,2,1,3,40,41,0,1,1,0
19,1,926,5,5,5,4,2,5,2,2,4,3,5,5,4,2,0,0,1,1,0,1
39,3,2712,2,2,2,2,5,5,5,4,4,4,4,3,4,5,0,0,1,1,1,1
25,3,507,3,5,4,5,3,2,3,3,1,2,3,3,3,3,7,14,0,1,1,0
36,3,404,2,4,4,4,4,3,3,2,2,1,2,1,2,2,0,0,0,1,1,0
63,1,1190,2,5,2,1,5,4,5,3,3,2,3,5,3,4,32,16,0,1,0,0
44,2,1744,4,5,4,3,5,4,5,5,4,2,3,5,4,5,0,0,1,1,0,0
24,1,1182,3,4,3,3,5,3,5,5,4,3,3,5,5,5,0,0,1,1,0,0
60,3,3239,2,2,2,2,2,5,5,4,4,4,4,3,4,3,37,34,1,1,1,1
54,1,787,5,4,5,4,4,5,1,4,4,5,4,3,4,4,4,2,1,1,0,1
48,1,373,3,3,4,4,1,4,1,1,2,4,1,3,2,1,0,0,1,1,0,0
45,1,182,4,5,5,5,5,1,5,4,4,4,4,2,4,3,0,0,0,1,1,1
27,3,834,1,1,1,1,4,4,4,4,5,2,4,4,5,4,0,11,0,1,1,1
47,3,3310,5,5,5,5,2,5,5,5,5,5,5,5,5,4,19,0,0,1,1,1
49,1,862,2,5,2,2,4,2,4,4,5,4,4,5,4,4,0,0,1,1,0,0
59,1,425,3,4,3,4,3,5,4,4,4,3,4,3,4,3,0,0,0,1,0,0
59,3,581,4,4,4,4,2,5,4,3,3,2,3,3,3,3,0,0,0,1,1,1
16,1,277,4,2,4,3,5,4,5,5,4,3,3,1,2,5,120,97,0,1,0,0
44,3,1587,4,4,4,4,2,3,5,1,1,2,1,4,1,3,0,0,1,1,1,1
31,3,1782,5,4,5,5,5,5,5,5,5,5,4,4,5,5,0,0,0,1,1,1
51,3,1801,3,3,3,3,3,4,3,5,5,5,5,1,5,4,0,0,0,1,1,1
41,3,3892,4,4,4,4,5,4,5,5,5,5,5,3,5,3,0,0,1,1,1,1
23,3,760,5,4,5,3,4,5,4,4,4,2,4,3,5,4,31,74,0,0,1,1
20,2,370,1,4,4,4,1,1,4,1,4,1,3,1,3,1,43,28,0,1,1,0
64,1,925,3,4,3,2,3,2,5,1,1,3,1,4,1,1,28,19,0,1,0,0
26,3,1192,4,4,4,1,2,4,2,2,4,4,4,5,4,2,14,0,0,0,1,1
30,3,309,3,4,4,4,3,3,3,3,1,3,3,2,3,3,0,0,1,1,1,0
40,1,102,4,2,2,2,4,4,4,4,4,5,4,3,3,4,0,0,0,1,1,0
24,1,948,3,3,3,4,2,3,2,2,4,3,3,4,4,2,0,0,1,0,1,0
27,3,304,2,2,2,2,4,2,4,4,5,5,4,4,5,4,0,0,1,0,1,0
28,1,668,4,4,4,4,3,4,3,3,5,4,4,3,5,3,49,52,0,1,0,0
42,1,1773,3,3,3,3,5,3,5,5,4,2,3,3,4,5,0,0,1,1,0,0
62,1,177,3,5,3,3,3,3,5,3,4,4,4,3,3,3,18,29,1,0,1,0
43,1,813,1,3,1,3,5,4,4,4,4,1,4,3,4,1,2,0,0,1,0,0
68,1,674,4,4,4,1,2,4,2,2,4,5,4,5,4,2,6,0,1,1,0,0
42,3,2147,2,2,2,2,3,4,5,5,5,5,5,3,5,4,0,0,0,1,1,1
55,1,1111,3,5,3,2,1,3,1,1,4,4,4,4,5,1,8,4,1,1,0,0
9,1,1416,2,5,2,4,2,2,1,2,2,1,4,2,3,2,0,0,0,1,0,0
34,3,1069,1,1,1,3,5,1,5,5,4,5,3,2,5,5,0,0,1,0,1,0
34,3,1733,1,1,1,1,3,5,5,5,5,5,5,4,5,4,0,0,1,1,1,1
44,3,3447,0,5,0,1,3,5,5,3,3,3,3,3,3,5,0,0,0,1,1,1
22,3,1542,3,5,3,3,4,4,4,4,3,1,2,4,4,4,0,0,0,1,1,1
20,1,1367,4,4,4,4,4,4,4,4,3,2,3,3,4,4,0,0,1,0,1,0
47,3,248,0,0,0,4,4,4,4,5,5,5,5,4,5,5,11,13,1,1,1,1
45,2,370,5,5,5,5,5,5,5,5,3,2,1,4,2,5,0,0,1,1,1,1
27,1,1197,1,1,1,4,2,1,2,2,4,5,4,3,3,2,10,0,1,0,1,0
39,3,342,1,1,1,1,3,5,4,5,5,5,5,4,5,4,0,0,1,1,1,1
40,1,677,3,4,2,2,5,2,5,5,4,2,4,3,4,5,0,0,0,1,0,0
25,2,347,1,4,2,3,5,2,5,5,4,4,5,3,5,5,62,57,1,1,0,0
39,3,460,4,4,4,2,2,4,2,2,2,1,1,1,2,2,0,0,0,0,1,0
58,1,936,4,4,4,2,1,4,1,1,4,3,5,3,5,1,0,3,1,1,0,0
58,3,2269,1,1,1,1,2,5,5,4,4,4,4,5,4,5,9,1,1,1,1,1
29,1,1016,3,3,3,4,4,3,4,4,2,1,4,4,3,4,9,11,0,0,1,0
27,3,2133,3,3,3,3,3,3,3,3,4,5,4,3,4,3,0,0,0,0,1,0
50,1,1041,3,4,3,1,4,3,3,4,4,5,5,3,4,4,30,25,1,1,0,0
30,1,1846,4,4,4,5,2,4,2,2,4,4,3,5,4,2,3,4,0,1,0,0
22,3,557,5,5,4,5,4,5,4,4,4,5,5,5,5,4,0,6,0,1,1,1
36,3,214,3,3,3,4,5,3,1,5,4,5,5,4,5,5,0,0,0,0,1,0
53,3,1389,1,1,1,1,2,4,5,4,4,4,4,3,4,3,22,26,0,1,1,1
36,3,1384,1,5,1,1,3,4,4,4,4,5,4,3,4,5,0,0,0,1,1,1
32,3,3840,2,2,2,2,5,5,5,5,3,4,4,4,4,5,0,0,1,1,1,1
33,3,2884,4,5,4,4,3,3,4,4,4,4,4,3,4,3,0,4,0,1,1,1
59,3,2404,1,1,1,1,3,5,5,4,4,4,4,3,4,3,0,2,1,1,1,1
60,3,3459,5,5,4,5,4,4,4,1,1,2,1,3,1,3,2,0,1,1,1,1
58,1,2405,5,2,5,4,2,3,4,3,3,5,3,2,3,2,10,0,0,1,0,1
34,2,2537,5,4,4,4,5,5,5,5,2,1,5,2,2,5,0,0,1,1,1,1
48,3,3640,3,3,3,3,5,5,4,4,4,4,4,4,4,4,0,0,1,1,1,1
