Inflight wifi service,Online boarding,Age,Flight Distance,Baggage handling,Checkin service,Loyal Customer,Seat comfort,Business Travel,Inflight entertainment
2,3,43,2605,2,3,1,3,1,2
3,4,49,2952,2,4,1,5,1,2
1,1,60,1009,4,3,1,5,0,5
2,1,32,944,3,3,1,4,0,5
4,4,58,302,5,5,1,4,1,4
3,4,51,1743,4,4,1,4,1,4
1,2,40,448,4,1,1,5,1,4
1,0,22,992,4,3,0,4,1,4
5,3,54,628,5,2,1,1,1,5
1,5,58,280,5,4,1,4,0,5
4,5,65,1042,2,5,1,4,0,4
2,5,48,4000,5,3,1,4,1,5
1,4,60,2771,1,3,1,4,1,1
0,0,22,337,1,1,0,3,1,3
3,4,26,1874,4,5,1,4,1,4
3,3,34,738,3,2,0,2,1,2
2,5,26,1127,4,3,1,4,1,4
3,4,49,1009,4,2,1,3,1,4
4,4,12,546,5,2,1,1,0,1
1,1,36,748,5,5,0,1,1,5
3,4,54,227,3,5,1,4,0,3
1,1,38,707,1,3,0,3,1,3
3,4,53,2235,4,4,1,5,1,4
1,3,48,1726,2,5,1,5,1,2
1,3,54,684,4,1,1,3,0,4
4,4,43,192,2,4,1,4,1,4
1,1,12,442,2,2,1,2,0,2
4,4,10,802,4,4,1,5,0,4
1,4,39,1884,5,3,1,4,1,5
3,3,72,308,3,2,1,3,1,3
1,1,54,259,2,5,1,2,0,2
2,3,44,1990,2,1,1,3,1,2
3,4,49,920,4,5,1,4,0,4
3,3,56,3296,3,2,1,2,1,3
2,3,30,655,5,5,1,2,0,3
3,2,36,2565,5,4,0,2,1,2
4,4,38,129,4,4,0,2,1,2
3,3,24,920,5,3,1,3,0,3
2,4,48,631,4,3,1,4,1,4
2,4,54,2484,4,5,1,5,1,4
2,3,54,2129,2,2,1,4,1,2
1,1,12,1096,3,3,1,1,0,1
5,5,46,2139,4,4,1,4,1,4
2,4,70,550,2,4,1,4,0,5
5,4,64,224,4,3,1,4,1,4
4,4,9,2288,3,4,1,4,1,4
4,4,63,115,4,4,1,4,1,4
4,4,18,1041,4,3,0,4,1,4
1,2,10,2556,3,4,1,2,0,2
2,2,27,1134,3,3,0,1,1,1
4,4,25,304,4,5,0,5,1,5
1,1,51,2556,4,1,1,1,1,1
1,1,36,312,5,4,1,5,0,4
3,3,71,431,3,4,1,2,1,3
3,5,35,311,5,5,1,1,0,1
2,4,40,2077,4,4,1,4,1,4
1,1,60,491,2,5,1,5,0,5
1,2,69,2134,4,5,1,3,1,4
2,2,37,226,4,1,1,2,1,2
2,1,56,1852,4,4,1,4,1,4
4,4,42,731,5,5,0,2,1,2
5,5,20,650,5,4,0,1,1,1
3,2,20,153,5,2,0,1,1,5
3,3,38,1710,4,2,1,3,1,4
2,4,47,1874,2,2,1,3,1,2
3,3,47,1056,4,4,1,4,0,4
4,5,60,3694,5,4,1,4,1,5
0,5,52,748,4,5,1,4,0,4
1,1,45,406,4,1,1,1,1,1
3,4,68,1024,2,4,1,4,0,2
3,3,24,448,4,1,0,4,1,2
2,2,45,1833,2,5,1,3,1,2
2,2,25,277,3,1,1,3,0,4
5,5,24,1476,3,5,1,5,1,5
1,1,29,710,3,1,0,3,1,3
2,4,55,2565,5,4,1,4,1,5
1,1,11,956,3,4,1,3,1,1
3,4,42,447,5,4,1,1,0,1
5,4,51,404,5,4,1,5,1,5
5,4,18,868,4,2,1,2,0,5
5,5,57,86,5,3,1,5,1,5
3,3,29,1546,4,5,1,4,0,4
4,4,16,545,3,1,1,3,1,4
2,5,67,406,2,3,1,4,0,2
5,4,38,2710,4,5,1,5,1,4
1,5,47,763,2,3,1,4,0,2
2,2,17,409,5,5,1,5,0,5
2,2,27,1050,4,4,0,1,1,3
4,4,43,74,4,4,1,3,1,4
1,1,36,642,4,2,0,2,1,5
4,4,56,331,4,5,1,4,1,4
4,4,11,634,4,3,1,1,0,1
3,3,14,532,5,3,1,1,0,1
2,5,30,1531,5,3,1,5,1,5
3,3,62,1488,5,1,1,5,0,5
1,1,38,323,4,2,1,1,0,4
3,3,23,628,4,4,0,3,1,3
2,2,56,1846,5,1,1,3,0,5
2,2,59,429,3,3,0,3,1,3
5,4,45,1670,4,4,1,5,1,4
2,4,49,2974,4,3,1,4,1,4
3,5,45,1464,5,4,1,4,1,5
1,1,28,448,4,3,0,3,1,3
4,5,57,696,4,4,1,4,1,4
2,2,32,541,3,3,1,5,0,2
5,5,25,628,1,4,1,4,1,5
4,4,33,677,4,5,1,1,0,1
2,2,23,152,4,4,0,3,1,3
5,2,59,442,4,2,1,1,1,4
5,5,19,994,4,5,0,5,1,5
5,5,23,612,5,4,1,5,1,5
4,4,46,3064,4,4,1,4,1,4
5,2,52,954,5,4,1,1,1,5
2,4,34,3364,2,1,1,4,1,2
4,4,46,843,5,4,1,4,0,4
1,1,56,787,3,3,1,1,0,1
2,5,58,3266,5,5,1,5,1,5
4,4,36,214,2,4,0,5,1,3
3,3,37,814,5,5,0,3,1,3
4,4,54,583,4,1,1,4,1,4
4,4,35,112,4,2,1,4,1,4
2,4,34,2506,2,4,1,4,1,2
4,5,41,1635,5,4,1,4,1,5
5,5,18,239,1,2,0,1,1,1
1,4,43,404,4,3,1,5,0,4
2,2,28,781,5,3,1,2,0,2
4,4,30,270,5,5,1,5,0,2
5,4,42,3358,4,5,1,4,1,4
5,3,21,824,5,3,0,3,1,4
2,2,59,468,5,5,1,3,0,5
2,5,8,2615,5,3,1,3,0,5
2,2,47,191,4,1,1,2,1,2
2,2,39,84,4,2,0,4,1,4
4,4,49,427,3,5,1,5,0,3
5,5,48,302,3,3,0,3,1,3
0,5,46,3407,5,5,1,5,1,5
1,5,48,1506,4,3,1,5,1,4
4,2,58,1810,3,2,1,2,1,5
2,2,22,1029,4,1,0,1,1,1
4,4,51,86,1,2,1,4,1,4
2,2,27,287,2,3,0,5,1,5
5,5,42,715,1,5,1,5,1,5
5,4,46,449,2,5,1,5,0,2
3,3,50,1605,1,4,1,5,0,5
4,5,38,368,4,5,1,5,1,4
5,5,17,570,3,4,1,5,0,5
2,2,35,2650,2,2,1,3,1,2
1,1,27,628,3,3,1,1,1,1
1,1,27,928,4,4,0,4,1,4
4,4,21,1587,4,3,0,3,1,3
4,5,57,1608,1,4,1,5,0,1
5,5,37,1619,1,4,1,2,0,2
1,1,32,328,3,5,1,5,0,5
3,2,57,175,3,3,1,3,1,1
5,2,40,2657,2,3,1,1,1,2
5,5,21,248,5,3,0,4,1,4
4,5,57,806,4,3,1,4,1,4
4,4,44,1276,4,5,0,3,1,3
3,4,59,825,4,4,1,2,0,4
3,4,52,1749,5,5,1,5,1,5
3,3,22,102,4,1,1,1,1,3
2,5,40,2243,4,3,1,5,1,4
5,4,60,1035,4,1,1,1,1,4
5,4,59,2358,4,4,1,5,1,4
3,3,45,1475,5,5,1,1,0,1
3,3,28,896,5,4,1,3,0,3
2,5,66,451,4,4,1,1,0,1
3,3,17,1013,4,1,1,1,0,1
4,5,40,2504,3,2,1,4,0,4
2,2,11,1210,2,3,0,4,1,4
3,2,69,1721,3,2,1,3,0,3
2,2,61,404,4,4,1,3,0,4
2,2,64,259,4,4,0,4,1,4
3,2,44,101,1,1,0,3,1,3
3,2,43,3103,3,2,1,3,1,3
2,1,23,1266,4,5,0,2,1,2
4,5,51,297,4,3,1,5,0,4
4,5,49,377,5,3,1,5,1,5
5,5,48,1086,1,3,1,5,1,5
2,2,24,227,4,4,1,3,0,3
3,5,26,1846,5,4,1,5,1,5
1,1,30,692,5,5,1,3,0,3
3,5,59,541,3,4,1,4,0,2
3,3,12,247,4,3,1,1,0,1
1,1,22,2109,4,2,1,1,1,1
2,2,39,783,2,2,1,2,1,2
2,5,60,337,4,4,1,2,1,4
3,4,42,762,3,4,1,4,1,3
3,1,38,319,3,1,0,1,1,1
4,5,46,1204,4,2,1,4,0,4
3,3,68,281,1,1,1,4,0,1
4,4,67,972,4,3,1,3,0,3
0,4,50,235,1,3,1,5,1,1
4,4,28,752,4,4,1,4,1,4
3,3,35,290,4,4,1,2,0,2
5,3,49,1726,5,5,1,4,1,5
3,5,57,2739,4,5,1,4,1,4
5,5,57,646,4,3,1,4,1,4
2,5,35,370,3,3,1,5,1,3
3,4,44,2486,2,5,1,5,1,2
2,2,33,558,1,5,1,1,1,1
1,5,44,458,5,4,1,4,1,5
3,3,45,229,4,3,1,4,1,4
4,2,51,646,4,3,1,3,0,4
5,4,28,3965,4,3,1,4,1,4
3,3,60,409,1,1,1,3,0,1
0,5,54,391,3,3,1,5,0,2
2,2,68,526,5,2,1,1,0,5
4,4,58,761,5,3,1,4,0,5
3,3,37,1096,4,4,0,5,1,5
3,3,20,1947,3,3,1,4,0,5
5,5,58,2354,5,5,1,4,1,5
5,5,22,1947,3,4,1,5,1,5
5,5,37,1069,1,4,1,5,1,5
3,3,30,2896,4,1,1,3,1,3
2,2,32,308,4,3,0,5,1,5
4,4,30,2883,5,5,1,4,1,4
5,4,25,423,4,5,0,3,1,3
2,5,54,1696,5,3,1,4,1,5
5,3,49,425,5,1,1,3,0,5
2,2,39,1055,4,3,1,2,0,2
2,2,38,414,5,4,0,1,1,1
3,5,40,337,4,4,1,4,1,4
4,4,52,3073,3,4,1,5,1,3
3,4,64,202,3,2,1,3,1,2
4,4,63,1201,4,4,1,2,0,1
3,5,42,3044,4,4,1,4,1,4
1,1,29,909,5,4,1,4,0,4
2,2,25,429,1,2,1,2,0,2
2,4,54,726,1,3,1,3,0,1
3,3,38,646,4,3,1,4,0,4
5,5,24,325,4,3,0,1,1,1
4,4,21,257,1,4,1,4,0,4
5,5,41,954,4,5,1,4,1,4
5,5,22,882,5,5,0,2,1,2
3,5,35,404,5,3,1,4,1,5
3,5,59,3397,3,4,1,4,1,3
1,4,28,1744,3,4,1,4,0,4
5,2,47,522,3,1,1,1,1,3
1,1,11,362,5,5,1,1,0,1
5,4,52,1593,4,4,1,5,1,4
3,3,34,507,5,4,1,1,0,1
5,4,35,2704,5,4,1,5,1,5
5,4,56,719,5,5,1,4,1,5
1,1,39,1865,5,3,0,1,1,1
2,2,43,474,2,2,0,1,1,1
1,5,40,2724,4,4,1,5,1,4
2,5,40,1574,3,5,1,5,1,3
1,4,52,507,1,2,1,4,1,1
3,5,42,925,5,5,1,5,1,3
2,3,27,763,4,5,1,2,0,4
3,3,20,408,3,3,0,2,1,2
5,4,46,1590,4,3,1,4,1,4
4,4,50,1242,4,4,1,4,0,2
1,5,39,882,2,5,1,5,1,2
3,2,40,3954,4,1,1,2,1,4
5,2,58,370,3,1,1,3,0,3
2,2,8,160,5,3,1,3,0,3
2,5,54,270,4,3,1,1,1,4
1,3,39,3875,1,2,1,4,1,1
4,4,22,3659,2,3,1,4,1,4
1,1,44,1797,1,1,0,3,1,2
1,1,62,1744,4,3,0,1,1,1
1,2,10,1065,3,3,0,1,1,1
4,4,30,3845,5,5,1,4,1,4
4,2,61,150,4,3,1,3,1,4
3,5,64,541,4,3,1,5,0,4
4,4,44,425,4,4,1,4,1,4
3,3,56,845,5,3,0,1,0,1
3,5,24,3356,2,4,1,5,1,5
3,3,60,1670,5,3,1,5,0,5
2,3,51,594,2,2,1,4,0,2
2,5,53,2054,5,3,1,5,1,5
3,3,27,1237,5,5,0,4,1,4
1,4,39,3313,1,3,1,5,1,1
2,3,59,550,2,3,1,3,1,2
2,2,11,999,4,2,0,1,1,1
5,5,36,802,2,5,1,5,1,5
3,3,38,296,3,5,0,3,1,2
3,3,19,1020,2,5,1,1,0,1
4,5,13,2176,5,4,1,2,0,4
1,1,19,226,3,3,1,1,1,1
2,5,41,328,4,5,1,5,1,4
3,3,24,421,4,3,0,3,1,3
4,4,65,224,4,1,1,5,0,5
3,3,54,375,5,1,0,4,1,4
4,4,26,1303,4,2,0,4,1,4
2,2,29,1310,5,5,1,1,0,1
2,2,18,1219,4,2,0,2,1,2
1,1,34,781,4,2,1,4,1,4
0,0,22,413,1,4,1,3,1,3
3,5,50,2610,4,3,1,5,1,4
1,1,50,234,3,1,0,3,1,3
1,5,24,1617,4,1,1,5,1,5
1,3,55,563,4,4,1,3,0,4
2,2,48,399,5,5,1,2,0,2
5,5,49,3354,5,5,1,4,1,5
4,4,43,205,4,4,1,4,1,4
2,2,22,544,4,3,1,1,0,1
3,3,14,1498,3,5,0,1,1,1
5,2,38,954,4,4,1,5,1,4
4,5,48,1671,4,4,1,4,1,4
2,5,32,3488,4,2,1,5,1,5
2,2,20,583,4,2,0,5,1,5
2,2,64,836,1,3,1,2,0,1
2,3,43,468,2,1,1,2,1,2
5,5,61,329,4,5,1,5,1,5
4,4,30,2586,5,4,1,4,1,4
3,3,13,101,4,5,1,4,0,4
5,5,51,532,3,4,1,5,1,5
1,4,55,488,1,3,1,4,1,1
3,4,44,2059,5,4,1,5,1,5
5,5,36,239,5,3,1,5,1,5
2,2,39,1554,2,3,1,3,1,2
1,4,52,3195,4,4,1,3,1,4
2,2,15,1342,4,4,1,3,0,3
2,2,29,853,3,3,0,1,1,1
4,4,32,821,4,2,1,5,0,5
2,5,58,725,4,3,1,5,1,4
1,2,28,1020,3,3,1,1,1,1
3,4,53,588,1,4,1,3,0,1
4,4,22,397,3,1,1,4,1,4
1,2,42,1846,1,2,1,3,1,1
3,3,7,1258,3,5,1,4,0,4
4,5,43,867,5,5,1,5,1,5
3,5,49,2526,4,4,1,4,1,4
1,4,33,547,4,5,1,4,1,4
2,2,30,641,5,4,0,1,1,1
1,0,26,789,1,5,0,2,1,2
1,1,40,413,2,2,0,1,1,5
3,3,11,209,2,1,1,5,0,5
3,4,36,429,4,5,1,5,1,4
2,2,30,733,4,4,1,2,1,2
2,4,42,3339,5,4,1,5,1,5
3,3,55,1249,2,3,0,2,1,2
5,5,41,1214,4,5,0,1,1,1
3,3,56,366,3,2,1,4,0,4
2,2,41,1190,5,1,1,2,1,2
2,2,11,1598,3,3,1,2,0,2
4,5,52,89,4,3,1,5,0,5
5,5,50,2753,4,4,1,4,1,4
5,2,59,692,5,5,1,3,1,5
5,5,44,109,4,5,1,5,1,5
3,4,46,2736,5,5,1,4,1,5
3,4,21,1108,5,4,0,4,1,5
2,2,56,597,4,4,0,4,1,4
2,4,47,507,4,4,1,5,1,4
3,2,33,2367,3,4,1,2,1,3
2,5,49,2956,5,5,1,5,1,4
2,5,63,581,1,4,1,5,0,1
1,3,60,223,3,1,1,3,0,3
1,1,66,224,4,4,1,1,1,1
2,2,57,628,4,5,1,5,0,5
1,1,45,667,4,2,1,1,1,1
4,4,16,561,4,3,1,1,0,1
2,4,53,1532,2,4,1,4,1,3
0,0,25,1404,5,4,0,1,1,1
2,2,19,576,4,3,0,4,1,4
3,5,57,483,4,5,1,2,1,4
2,4,24,695,1,3,1,4,1,4
2,5,58,3629,4,4,1,5,1,4
3,5,23,3917,4,2,1,5,1,5
4,3,57,125,4,3,1,3,0,4
1,2,40,1635,4,5,1,1,0,1
4,4,55,683,4,3,1,4,1,4
2,4,39,936,5,5,1,4,1,5
2,2,30,472,5,3,1,4,0,2
1,1,53,639,4,5,1,3,0,3
1,1,15,308,5,5,1,3,0,3
2,2,20,1849,3,3,0,2,1,2
2,2,36,1065,3,2,1,2,1,2
4,4,48,576,5,4,1,5,0,5
2,2,50,689,4,4,1,1,0,1
2,2,33,409,4,1,1,2,1,2
2,2,37,265,4,4,0,5,1,5
0,0,32,1092,1,1,1,1,1,1
1,1,24,948,4,4,0,4,1,2
2,5,27,3984,5,3,1,5,1,5
0,4,40,1899,5,4,1,4,1,5
2,2,36,362,4,3,1,3,0,3
2,2,11,543,4,4,1,1,0,3
2,2,58,1009,2,1,1,2,0,4
3,3,15,2075,4,3,1,5,0,5
3,3,32,846,4,1,1,3,0,3
1,5,45,3914,4,3,1,5,1,4
4,3,28,1620,5,4,1,3,1,3
3,5,39,3755,1,5,1,5,1,5
2,2,29,189,4,4,0,2,1,2
1,4,33,3240,5,3,1,5,1,5
5,4,47,674,2,5,1,4,0,2
2,2,27,229,1,5,0,4,1,4
1,1,50,1046,3,1,0,2,1,2
3,4,54,1947,4,5,1,5,1,4
2,2,68,1020,2,1,1,3,0,3
4,4,22,221,5,3,1,4,1,4
2,2,11,312,4,4,1,1,0,2
2,2,51,1069,5,2,1,2,0,3
2,5,42,3828,4,3,1,5,1,4
1,3,50,3433,4,2,1,3,1,5
3,3,35,216,3,4,1,3,1,3
3,3,45,697,5,4,1,4,0,5
2,5,55,2235,5,5,1,5,1,5
4,4,51,457,4,4,1,4,1,4
1,3,42,602,1,3,1,4,1,1
1,4,47,967,3,4,1,5,1,3
1,1,23,3012,2,3,1,1,1,1
4,4,52,639,4,5,1,2,0,2
1,1,19,782,5,3,1,4,0,4
4,2,54,319,2,3,1,2,0,2
1,4,12,3326,5,4,1,4,1,4
0,4,54,1866,1,5,1,5,1,4
2,2,68,651,2,4,1,1,0,1
1,1,46,562,3,1,1,1,0,4
3,3,27,153,3,2,0,3,1,3
4,3,29,416,4,3,1,3,0,4
3,3,60,1546,2,1,1,2,0,2
4,4,56,1547,4,3,1,5,1,4
2,3,30,3720,3,3,1,2,1,2
4,3,44,1521,4,4,1,3,1,4
5,5,61,3850,5,4,1,4,1,5
5,4,37,2681,4,4,1,5,1,4
1,1,35,395,5,3,1,2,0,4
3,5,33,408,5,3,1,2,0,2
4,5,11,2475,3,3,1,3,0,3
2,3,31,1546,4,5,1,3,1,3
3,4,12,2807,5,4,1,4,1,4
4,5,58,651,4,3,1,5,1,4
4,4,51,404,4,5,1,4,1,4
2,2,21,121,5,3,0,1,1,5
2,2,51,1844,3,4,1,2,0,1
2,5,60,404,5,4,1,5,0,1
5,4,23,954,1,2,1,3,1,5
2,4,47,1304,5,3,1,5,0,5
1,5,54,2370,4,5,1,4,1,4
4,4,29,1590,4,5,0,3,1,3
3,3,67,1670,3,3,1,3,0,4
2,5,27,2677,4,5,1,5,1,5
1,1,44,957,3,1,1,1,1,1
5,5,47,1874,4,5,1,5,1,5
4,4,32,503,3,4,1,4,1,1
3,3,25,580,3,3,0,4,1,4
3,3,41,507,3,3,1,2,1,3
5,4,52,3345,4,4,1,4,1,4
3,3,67,287,4,4,1,5,0,5
3,3,44,547,1,2,1,1,0,1
1,4,42,198,4,3,1,5,0,4
1,4,50,641,2,5,1,4,0,2
2,5,53,2096,4,4,1,5,1,4
4,4,50,3938,3,3,1,5,1,3
1,1,28,522,5,3,1,3,0,3
3,3,44,1788,5,5,1,4,1,5
5,5,50,3845,5,5,1,5,1,3
2,2,29,1389,4,5,0,2,1,3
4,3,44,594,4,3,1,4,0,4
3,4,45,296,3,3,1,4,1,3
2,5,45,2374,4,3,1,4,1,4
1,4,56,1581,5,3,1,4,1,5
5,4,25,1521,4,4,0,4,1,5
2,5,56,2480,5,3,1,5,1,4
4,4,51,2263,4,3,1,4,1,4
1,1,70,868,5,2,1,1,0,5
3,3,30,679,4,4,0,2,1,2
2,2,34,861,5,5,1,5,0,3
2,2,70,888,3,4,1,3,0,3
1,4,52,3247,4,3,1,4,1,5
3,3,27,712,3,1,0,3,1,3
2,4,21,1452,5,3,1,3,1,3
5,5,29,351,4,5,1,4,0,4
4,4,39,140,4,4,0,2,1,4
1,5,50,3720,4,3,1,4,1,4
4,4,38,1121,4,3,0,3,1,3
3,3,37,101,5,3,1,3,1,3
3,3,51,1475,4,4,1,3,0,3
3,3,18,946,1,3,1,3,0,3
3,3,45,1744,4,2,1,4,1,4
3,3,33,483,4,3,1,5,0,5
1,4,51,3269,4,2,1,5,1,4
4,4,37,383,5,5,1,4,1,4
3,4,36,3341,3,4,1,3,1,3
4,2,42,236,1,2,1,2,0,1
2,5,56,447,5,4,1,5,1,5
2,4,57,2486,4,4,1,4,1,4
5,2,54,1605,3,3,1,3,0,4
5,5,27,259,4,3,0,3,1,3
3,3,27,896,5,3,0,2,1,5
3,3,23,1590,5,3,1,2,0,2
1,1,68,253,3,1,1,1,1,1
2,2,59,432,4,4,1,1,0,4
4,4,31,86,1,3,1,4,1,4
0,0,29,1522,4,3,0,3,1,3
5,5,51,2573,4,3,1,5,1,4
3,3,29,1501,3,4,0,1,1,2
3,3,44,995,3,3,0,3,1,2
1,5,41,2047,4,3,1,4,1,4
2,2,24,1204,4,4,0,2,1,2
2,4,55,507,5,4,1,5,1,5
2,4,57,432,5,4,1,4,0,5
2,2,28,833,4,3,1,4,0,4
4,4,20,911,3,3,1,1,0,5
2,5,41,2562,4,4,1,4,1,4
4,4,29,618,3,2,1,4,1,4
2,4,34,170,4,1,1,4,1,5
3,2,36,1249,2,3,0,3,1,3
1,4,56,2655,5,4,1,4,1,3
2,4,40,2561,4,5,1,5,1,4
3,4,34,3131,3,2,1,3,1,3
2,4,44,2951,5,3,1,5,1,5
2,3,25,735,3,2,0,4,1,3
4,4,22,190,1,4,0,3,1,4
1,1,22,944,1,5,0,1,1,1
2,2,44,282,4,1,0,2,1,2
5,5,44,399,2,1,1,5,1,5
1,2,40,2611,5,2,1,2,0,1
1,1,13,436,3,1,1,2,0,2
1,4,31,677,4,5,1,4,1,4
4,3,59,516,4,5,1,1,0,1
4,5,60,1050,3,3,1,5,0,3
3,3,52,334,3,2,1,3,1,3
5,4,40,630,4,4,1,5,1,4
1,1,71,239,3,4,1,1,1,1
2,5,48,1488,4,4,1,5,1,4
3,3,46,451,1,4,1,3,1,3
4,4,34,551,4,5,0,4,1,4
3,3,28,308,5,3,0,5,1,5
4,4,65,581,3,2,1,4,1,3
4,5,51,204,5,5,1,5,1,5
2,2,46,262,2,2,1,3,1,2
2,3,59,3380,2,1,1,3,1,2
5,5,45,3776,5,4,1,5,1,5
3,3,38,192,4,4,1,3,1,3
4,4,18,1096,3,3,1,1,0,1
1,1,27,1214,2,3,0,3,1,3
3,5,31,341,1,2,1,5,1,5
2,2,21,1303,3,4,1,4,0,4
2,4,46,1532,5,5,1,5,1,5
2,3,45,255,2,3,1,3,0,2
1,4,49,1144,5,4,1,4,0,5
3,3,36,429,4,2,1,3,0,3
1,1,56,867,3,4,1,5,0,5
5,1,34,2429,4,5,1,4,1,4
2,2,35,584,5,4,1,3,0,3
1,5,66,396,1,3,1,5,0,1
1,1,30,475,3,4,1,1,0,3
3,3,35,604,3,3,1,3,1,3
4,4,41,3965,2,4,1,4,1,2
5,4,45,417,4,3,1,4,1,4
1,1,47,137,3,2,1,2,0,2
1,1,24,1069,4,3,0,1,1,3
3,3,31,1744,4,3,1,5,0,5
5,5,44,3771,5,3,1,5,1,5
3,5,59,600,5,5,1,5,1,5
1,1,20,1384,1,1,1,2,0,2
3,3,22,2342,2,4,0,3,1,3
2,1,47,191,2,4,1,1,1,2
2,2,27,912,5,5,0,4,1,5
3,3,19,1670,3,2,1,3,0,3
3,3,55,748,5,1,1,2,0,1
3,3,53,524,3,4,1,4,1,3
5,5,28,312,4,4,1,5,1,5
1,3,33,3550,4,2,1,4,1,5
5,5,56,2565,5,3,1,5,1,5
2,2,37,334,5,3,0,2,1,2
2,5,57,2125,5,3,1,4,1,5
4,4,53,337,5,3,1,4,1,4
2,5,42,1086,5,4,1,5,1,5
2,2,20,770,5,3,0,5,1,4
3,2,32,316,5,4,0,4,1,4
2,2,42,761,5,4,0,2,1,2
1,1,45,397,3,1,1,5,0,5
4,4,47,2350,3,1,1,4,0,4
3,4,37,3391,3,1,1,4,1,3
1,4,47,3777,5,3,1,4,1,5
1,1,65,419,4,1,0,1,1,1
2,2,26,696,2,3,1,1,1,2
3,3,13,946,5,5,0,3,1,3
3,4,47,226,5,4,1,5,1,5
4,5,42,833,3,4,1,5,1,3
3,3,31,2548,3,2,1,3,1,3
